"Ethanol";"Budesonide";"Total energy";"Saline";"RAE"
1.0;30.7;5300;0.5;661
1.0;30;5300;1;658
1.1;30;3540;0.6;1295
1.0;10.1;2900;1;635
1.3;28.6;2050;0.3;1255
1.7;21.9;2650;1.05;1622
1.9;23.3;1700;1.75;911
2.0;30;2050;0.6;661
2.0;0;2090;0.6;643
2.0;29.8;2050;0.6;647
1.1;30;3540;0.6;1249
1.3;29.7;4650;1.5;1368
1.0;29.8;3000;0.6;1241
1.0;29.8;3000;0.6;1364
1.0;30.1;3000;0.6;629
1.0;30;3000;0.6;1268
2.5;30;1050;0.3;1575
2.8;20.4;2250;0.35;912
2.4;22.5;650;1.15;1054
2.9;20;3150;0.55;1370
2.1;28;4560;1.2;837
2.6;28.7;1790;0.25;1513
2.2;29.9;2840;0.9;658
2.5;21.1;3610;0.55;926
2.0;20.4;1315;0.65;1384
1.1;16;4417;0.75;1031
1.5;25.2;2450;0.68;1771
2.3;21.5;1990;0.5;1405
1.5;17.1;2743;0.275;735
2.6;13;2415;0.25;805
2.0;20.9;1450;0.95;1279
1.5;30;6221;0.75;933
1.5;30;3958;0.75;998
1.5;30;1909;0.75;1081
1.5;30;1047;0.75;1047
2.1;30;6606;0.5;759
2.1;30;6601;0.5;1278
2.2;30;4905;1;848
2.1;30.3;4911;0.5;1417
2.5;14.1;842;0.35;1365
2.7;19.5;1025;0.4;1464
1.8;20.6;2000;0.4;1714
1.3;29.7;4650;1.5;1197
2.3;26.8;5045;0.5;1125
1.6;23.9;3850;0.45;1582
2.4;19.1;2500;0.4;1014
1.0;30;5300;0.5;967
1.7;27;3719;0.85;1344
1.0;13.3;6402;0.8;923
2.6;29.5;4093;1;1266
1.6;22.3;4340;0.8;1033
3.0;25.1;4401;1.2;1390
2.0;0;5646;0.25;1184
1.0;23.3;1089;1.35;895
2.7;20.1;799;0.4;1199
2.0;0;2050;0.6;661
1.5;29.9;3192;1;1570
2.0;30;2050;0.6;631
2.3;7.37;1860;0.55;641
1.5;24.5;5425;0.7;779
