"epoca";"peso";"EQM"
2;0.08711869985;0.00543631956678 
5;0.152552634376;0.00306681993472 
8;0.201699370896;0.00173010147702 
11;0.238612965166;0.000976011368285 
14;0.266338375608;0.000550602495678 
17;0.287162638306;0.000310614320794 
20;0.302803521886;0.000175228512474 
23;0.314551224202;0.0000988525947724 
26;0.323374799227;0.0000557662412084 
29;0.330002093155;0.0000314597069068 
32;0.334979783566;0.0000177475321488 
35;0.338718474215;0.0000100120099117 
38;0.34152656524;0.00000564812851908
41;0.343635692725;0.000003186308848 
44;0.345219836083;0.00000179750939458
47;0.346409669413;0.00000101403855613 
50;0.347303340649;0.000000572054975855 
53;0.347974567668;0.000000322716422786 
56;0.348478719186;0.000000182055735779 
59;0.348857382062;0.000000102704072647 
62;0.349141791746;0.0000000579389959516
65;0.349355408852;0.0000000326854346216 
68;0.349515854403;0.0000000184390084581 
71;0.34963636336;0.0000000104020961279 
74;0.349726876364;0.00000000586818993552
